Segment Info
Segment Name,94
Recording Name,记录001
Subject Name,被试002
Start Time(s),233.4582965
End Time(s),235.9447612

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,11,0.061,0.001,0.01,0.00554545454545455
2,Blink,1,0.117,0.117,0.117,0.117
3,Fixation,9,1.639,0.069,0.29,0.182111111111111
4,Saccades,20,0.669,0.001,0.16,0.03345

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,233.458,233.462,0.004
2,Null,233.462,233.467,0.005
3,Saccades,233.467,233.498,0.031
4,Fixation,233.498,233.675,0.177
5,Saccades,233.675,233.72,0.045
6,Fixation,233.72,234,0.28
7,Saccades,234,234.053,0.053
8,Null,234.053,234.063,0.01
9,Saccades,234.063,234.07,0.007
10,Fixation,234.07,234.167,0.097
11,Saccades,234.167,234.217,0.05
12,Fixation,234.217,234.507,0.29
13,Saccades,234.507,234.652,0.145
14,Null,234.652,234.657,0.005
15,Saccades,234.657,234.668,0.011
16,Fixation,234.668,234.91,0.242
17,Saccades,234.91,234.967,0.057
18,Fixation,234.967,235.207,0.24
19,Saccades,235.207,235.232,0.025
20,Fixation,235.232,235.402,0.17
21,Saccades,235.402,235.562,0.16
22,Null,235.562,235.563,0.001
23,Saccades,235.563,235.568,0.005
24,Null,235.568,235.572,0.004
25,Saccades,235.572,235.573,0.001
26,Null,235.573,235.577,0.004
27,Saccades,235.577,235.578,0.001
28,Null,235.578,235.587,0.009
29,Saccades,235.587,235.597,0.01
30,Null,235.597,235.598,0.001
31,Saccades,235.598,235.603,0.005
32,Fixation,235.603,235.677,0.074
33,Saccades,235.677,235.7,0.023
34,Null,235.7,235.71,0.01
35,Saccades,235.71,235.713,0.003
36,Null,235.713,235.715,0.002
37,Saccades,235.715,235.718,0.003
38,Fixation,235.718,235.787,0.069
39,Saccades,235.787,235.817,0.03
40,Null,235.817,235.827,0.01
41,Blink,235.827,235.944,0.117
