Segment Info
Segment Name,372
Recording Name,记录002
Subject Name,被试002
Start Time(s),935.3893082
End Time(s),937.8883754

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,9,0.159,0.002,0.055,0.0176666666666667
2,Fixation,10,1.69,0.063,0.255,0.169
3,Saccades,18,0.65,0.001,0.13,0.0361111111111111

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,935.389,935.464,0.075
2,Saccades,935.464,935.524,0.06
3,Null,935.524,935.549,0.025
4,Saccades,935.549,935.554,0.005
5,Fixation,935.554,935.782,0.228
6,Saccades,935.782,935.842,0.06
7,Null,935.842,935.857,0.015
8,Saccades,935.857,935.867,0.01
9,Fixation,935.867,936.024,0.157
10,Saccades,936.024,936.079,0.055
11,Null,936.079,936.085,0.006
12,Saccades,936.085,936.102,0.017
13,Fixation,936.102,936.357,0.255
14,Saccades,936.357,936.394,0.037
15,Fixation,936.394,936.525,0.131
16,Saccades,936.525,936.655,0.13
17,Null,936.655,936.679,0.024
18,Saccades,936.679,936.689,0.01
19,Null,936.689,936.744,0.055
20,Saccades,936.744,936.745,0.001
21,Null,936.745,936.754,0.009
22,Saccades,936.754,936.757,0.003
23,Null,936.757,936.777,0.02
24,Saccades,936.777,936.779,0.002
25,Fixation,936.779,936.987,0.208
26,Saccades,936.987,937.034,0.047
27,Fixation,937.034,937.234,0.2
28,Saccades,937.234,937.3,0.066
29,Null,937.3,937.302,0.002
30,Saccades,937.302,937.335,0.033
31,Fixation,937.335,937.507,0.172
32,Saccades,937.507,937.574,0.067
33,Null,937.574,937.577,0.003
34,Saccades,937.577,937.594,0.017
35,Fixation,937.594,937.795,0.201
36,Saccades,937.795,937.825,0.03
37,Fixation,937.825,937.888,0.063
