Segment Info
Segment Name,43
Recording Name,记录002
Subject Name,被试002
Start Time(s),108.0591448
End Time(s),110.5609415

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,13,0.122,0.002,0.024,0.00938461538461539
2,Blink,2,0.234,0.08,0.154,0.117
3,Fixation,7,1.716,0.117,0.373,0.245142857142857
4,Saccades,18,0.429,0.003,0.06,0.0238333333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,108.059,108.094,0.035
2,Null,108.094,108.105,0.011
3,Saccades,108.105,108.109,0.004
4,Fixation,108.109,108.387,0.278
5,Saccades,108.387,108.422,0.035
6,Fixation,108.422,108.605,0.183
7,Saccades,108.605,108.637,0.032
8,Fixation,108.637,108.754,0.117
9,Saccades,108.754,108.77,0.016
10,Null,108.77,108.78,0.01
11,Blink,108.78,108.86,0.08
12,Null,108.86,108.87,0.01
13,Saccades,108.87,108.917,0.047
14,Null,108.917,108.919,0.002
15,Saccades,108.919,108.935,0.016
16,Null,108.935,108.937,0.002
17,Saccades,108.937,108.944,0.007
18,Null,108.944,108.947,0.003
19,Saccades,108.947,108.95,0.003
20,Null,108.95,108.972,0.022
21,Saccades,108.972,108.979,0.007
22,Null,108.979,108.985,0.006
23,Saccades,108.985,108.99,0.005
24,Null,108.99,109.014,0.024
25,Saccades,109.014,109.024,0.01
26,Null,109.024,109.03,0.006
27,Saccades,109.03,109.04,0.01
28,Null,109.04,109.05,0.01
29,Blink,109.05,109.204,0.154
30,Null,109.204,109.214,0.01
31,Saccades,109.214,109.274,0.06
32,Null,109.274,109.28,0.006
33,Saccades,109.28,109.302,0.022
34,Fixation,109.302,109.675,0.373
35,Saccades,109.675,109.704,0.029
36,Fixation,109.704,109.949,0.245
37,Saccades,109.949,110.005,0.056
38,Fixation,110.005,110.342,0.337
39,Saccades,110.342,110.377,0.035
40,Fixation,110.377,110.56,0.183
