Segment Info
Segment Name,186
Recording Name,记录002
Subject Name,被试002
Start Time(s),467.5930053
End Time(s),470.0912199

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,12,0.191,0.003,0.053,0.0159166666666667
2,Fixation,8,1.881,0,0.63,0.235125
3,Saccades,19,0.426,0.002,0.08,0.0224210526315789

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,467.593,467.985,0.392
2,Saccades,467.985,468.043,0.058
3,Null,468.043,468.06,0.017
4,Saccades,468.06,468.065,0.005
5,Fixation,468.065,468.231,0.166
6,Saccades,468.231,468.281,0.05
7,Null,468.281,468.293,0.012
8,Saccades,468.293,468.296,0.003
9,Fixation,468.296,468.926,0.63
10,Saccades,468.926,468.961,0.035
11,Fixation,468.961,469.096,0.135
12,Saccades,469.096,469.176,0.08
13,Null,469.176,469.18,0.004
14,Saccades,469.18,469.198,0.018
15,Fixation,469.198,469.386,0.188
16,Saccades,469.386,469.42,0.034
17,Fixation,469.42,469.715,0.295
18,Saccades,469.715,469.78,0.065
19,Null,469.78,469.795,0.015
20,Saccades,469.795,469.8,0.005
21,Null,469.8,469.815,0.015
22,Saccades,469.815,469.82,0.005
23,Null,469.82,469.873,0.053
24,Saccades,469.873,469.875,0.002
25,Null,469.875,469.885,0.01
26,Saccades,469.885,469.89,0.005
27,Null,469.89,469.926,0.036
28,Saccades,469.926,469.928,0.002
29,Fixation,469.928,470.003,0.075
30,Saccades,470.003,470.01,0.007
31,Null,470.01,470.03,0.02
32,Saccades,470.03,470.033,0.003
33,Null,470.033,470.036,0.003
34,Saccades,470.036,470.038,0.002
35,Null,470.038,470.041,0.003
36,Saccades,470.041,470.048,0.007
37,Null,470.048,470.051,0.003
38,Saccades,470.051,470.091,0.04
39,Fixation,470.091,470.091,0
