Segment Info
Segment Name,52
Recording Name,记录002
Subject Name,被试002
Start Time(s),130.7032649
End Time(s),133.2027974

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.082,0.014,0.035,0.0205
2,Fixation,9,2.065,0.105,0.484,0.229444444444444
3,Saccades,13,0.352,0.001,0.06,0.0270769230769231

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,130.703,130.705,0.002
2,Null,130.705,130.72,0.015
3,Saccades,130.72,130.723,0.003
4,Null,130.723,130.758,0.035
5,Saccades,130.758,130.761,0.003
6,Fixation,130.761,130.866,0.105
7,Saccades,130.866,130.926,0.06
8,Fixation,130.926,131.071,0.145
9,Saccades,131.071,131.116,0.045
10,Null,131.116,131.13,0.014
11,Saccades,131.13,131.131,0.001
12,Fixation,131.131,131.258,0.127
13,Saccades,131.258,131.29,0.032
14,Fixation,131.29,131.536,0.246
15,Saccades,131.536,131.575,0.039
16,Fixation,131.575,131.785,0.21
17,Saccades,131.785,131.845,0.06
18,Null,131.845,131.863,0.018
19,Saccades,131.863,131.865,0.002
20,Fixation,131.865,132.15,0.285
21,Saccades,132.15,132.166,0.016
22,Fixation,132.166,132.433,0.267
23,Saccades,132.433,132.49,0.057
24,Fixation,132.49,132.686,0.196
25,Saccades,132.686,132.718,0.032
26,Fixation,132.718,133.202,0.484
