Segment Info
Segment Name,152
Recording Name,记录001
Subject Name,被试001
Start Time(s),381.9447771
End Time(s),384.4461235

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.035,0.007,0.01,0.00875
2,Blink,1,0.125,0.125,0.125,0.125
3,Fixation,9,2,0.14,0.335,0.222222222222222
4,Saccades,10,0.342,0.003,0.06,0.0342

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,381.944,382.279,0.335
2,Saccades,382.279,382.324,0.045
3,Fixation,382.324,382.464,0.14
4,Saccades,382.464,382.497,0.033
5,Null,382.497,382.505,0.008
6,Saccades,382.505,382.512,0.007
7,Fixation,382.512,382.745,0.233
8,Saccades,382.745,382.777,0.032
9,Fixation,382.777,382.987,0.21
10,Null,382.987,382.997,0.01
11,Blink,382.997,383.122,0.125
12,Null,383.122,383.132,0.01
13,Saccades,383.132,383.135,0.003
14,Null,383.135,383.142,0.007
15,Saccades,383.142,383.154,0.012
16,Fixation,383.154,383.347,0.193
17,Saccades,383.347,383.399,0.052
18,Fixation,383.399,383.544,0.145
19,Saccades,383.544,383.589,0.045
20,Fixation,383.589,383.73,0.141
21,Saccades,383.73,383.79,0.06
22,Fixation,383.79,384.099,0.309
23,Saccades,384.099,384.152,0.053
24,Fixation,384.152,384.446,0.294
