Segment Info
Segment Name,64
Recording Name,记录001
Subject Name,被试001
Start Time(s),160.8149616
End Time(s),163.3084356

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Fixation,13,2.057,0.029,0.295,0.158230769230769
2,Saccades,12,0.437,0.015,0.074,0.0364166666666667

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,160.814,160.974,0.16
2,Saccades,160.974,160.999,0.025
3,Fixation,160.999,161.2,0.201
4,Saccades,161.2,161.26,0.06
5,Fixation,161.26,161.357,0.097
6,Saccades,161.357,161.39,0.033
7,Fixation,161.39,161.527,0.137
8,Saccades,161.527,161.545,0.018
9,Fixation,161.545,161.755,0.21
10,Saccades,161.755,161.79,0.035
11,Fixation,161.79,162.085,0.295
12,Saccades,162.085,162.135,0.05
13,Fixation,162.135,162.389,0.254
14,Saccades,162.389,162.405,0.016
15,Fixation,162.405,162.492,0.087
16,Saccades,162.492,162.54,0.048
17,Fixation,162.54,162.787,0.247
18,Saccades,162.787,162.802,0.015
19,Fixation,162.802,162.89,0.088
20,Saccades,162.89,162.964,0.074
21,Fixation,162.964,163.065,0.101
22,Saccades,163.065,163.099,0.034
23,Fixation,163.099,163.25,0.151
24,Saccades,163.25,163.279,0.029
25,Fixation,163.279,163.308,0.029
